Company_Brand,Sector,Stage,BIO,Year,HeadQuarter,Amount($)
Dream Sports,Gaming,Undisclosed,"Dream Sports is India’s leading sports technology company with brands such as Dream11, FanCode, DreamX and DreamSetGo in its portfolio.",2021,Mumbai,
Safex Chemicals,Technology,Undisclosed,Safex Chemicals India Ltd is a leading company having a strong foothold in the Indian agrochemicals industry.,2021,Delhi,
Instoried,Content creation,Undisclosed,Instoried is an augmented writing platform which improves customer interest and engagement.,2021,Bangalore,
Rupifi,Technology,Series,Rupifi operates a software-as-a-service (SaaS) firm focussed on financial products.,2021,Bangalore,
Moneyboxx,Technology,Dept,Moneyboxx Finance provides easy access to financing to the deserving micro enterprises.,2021,Mumbai,
CityMall,E-commerce,Series,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,2021,Gurugram,
Janani,Heathcare,Seed,Janani.ai is a fertility care provider.,2021,Bangalore,
ReshaMandi,Technology,Seed,India's 1st award winning technology led digital ecosystem for Silk,2021,Bangalore,
Bombay Shaving Company,Lifestyle,Undisclosed,"Bombay Shaving Company is a consumer goods company that focuses on developing a range of shave care, beard care, and skincare products.",2021,Delhi,
DotPe,Technology,Series,DotPe is a technology start-up providing a commerce and payments platform to offline enterprise businesses.,2021,Gurugram,
Homingos,Augmented reality,Undisclosed,Homingos is an Augmented reality (AR)-based social networking platform.,2021,Bangalore,
Anar Business Community,Technology,Undisclosed,Anar is a communications and networking platform for businesses around the world.,2021,Mumbai,
Five Star Finance,Technology,Undisclosed,Five-Star is a Registered Non Banking Finance Company (NBFC) with Reserve Bank of India (RBI).,2021,Chennai,
Settlrs,Rental space,Series,"A B2B rental services company for furniture, home appliances, electronic and IT infrastructure.",2021,Bangalore,
BYJU'S,Technology,Series,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2021,Bangalore,
Annapurna Finance,Technology,Undisclosed,Annapurna Microfinance is a microfinance venture that works for the financial and economic upliftment of underserved and unreached women.,2021,Bhubaneswar,
HealthPlix,Health Care,Series,HealthPlix is a healthtech startup,2021,Bangalore,
Masai School,Technology,Series,Masai School is a job-oriented software training services.,2021,Bangalore,
Bewakoof,D2C Fashion,Undisclosed,"Society perceives Bewakoof as stupid.But what does society call Bewakoof?Often, it’s anything different or anything that’s done differently.",2021,Mumbai,
IndiaLends,Technology,Undisclosed,IndiaLends is a digital lending and borrowing marketplace.,2021,Delhi,
Stelis Biopharma,Technology,Series,Stelis Biopharma is a vertically integrated biopharmaceutical company.,2021,Bangalore,
Tilt,Bike Rental,Undisclosed,A bike-share for Indian campuses,2021,Bangalore,
NeoDove,Artificial intelligence,Seed,"Neodove is an AI-powered, end to end tech-enabled customer communication and reporting solution.",2021,Jaipur,
Zaara Biotech,Technology,Undisclosed,India's First Algal-seaweed Biotechnology Students' Startup in collaboration with ICAR- Central Institute of fisheries and Technology,2021,Kottayam,
KreditBee,Technology,Seed,KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,2021,Bangalore,
True Balance,Technology,Dept,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2021,Gurugram,
Muvin,Technology,Seed,Youth Neobank enabling financial solutions for the teenagers and young people,2021,Bangalore,
Purplle,Beauty products,Undisclosed,"Purplle is an online store selling cosmetics, fragrances, skin, and hair care products.",2021,Mumbai,
FloBiz,Technology,Series,India’s first neobusiness platform,2021,Bangalore,
Jeevam Health,Health Care,Seed,Jeevam Health is an Online Medical Clinic to Cure Root Cause of Chronic Issues in India.,2021,Delhi,
NewLink Group,Technology,Undisclosed,Developer of an energy management and transportation digital platform designed to streamline the energy supply chain,2021,Outside_India,
OZiva,Heathcare,Series,OZiva is a plant-based Clean Nutrition Brand.,2021,Mumbai,
